finding_id,source,clip_id,provider,accent,tier,domain,kind,expected,heard,weight,ref_excerpt,hyp_excerpt,auto_flag,needs_listen,failure_code,severity,note
1,detector,725b8d8321a1685407b896624a741d82,gemini,urhobo,B,clinical,ASR-COLLAPSE,bilateral dp pt pulses dopplerable,vai lacarao dppc causes toplarigo,3.8095,[[bilateral]] dp pt pulses dopplerable,vai lacarao dppc causes toplarigo,ASR-COLLAPSE candidate,,,,
2,detector,00f29afe5b9419051ece6254c7671140,dg-general,ijaw,A,clinical,ASR-COLLAPSE,reglan given to advance tube,rare gland giving to advanced tube,3.8095,[[reglan]] given to advance tube,rare gland giving to advanced tube,ASR-COLLAPSE candidate,,,,
3,detector,4524d44d0b4b586ba5f80bab94a36374,whisper,estako,C,clinical,ASR-COLLAPSE,metoprolol 100 mg hospital dekunle 2,meto prolog 100 mg hospital deep wave zoom,3.8095,[[metoprolol]] 100 mg hospital dekunle 2,meto prolog 100 mg hospital deep wave zoom,ASR-COLLAPSE candidate,,,,
4,detector,795fbbcc55dad655ff683752f4b1030c,whisper,brass,C,clinical,ASR-COLLAPSE,sequential dosing is usually for 10 or 12 days each calendarmonth,স খ ঙষ দ জ ন ইস 9 ট ন ও টর ক দ ইজ,3.8095,[[sequential]] dosing is usually for 10 or 12,স খ ঙষ দ জ ন ইস 9,ASR-COLLAPSE candidate,,,,
5,detector,39bf3e3ee7075614072deb7a5280ab60,whisper,igbo,A,clinical,ASR-COLLAPSE,no acute distress eyes conjunctiva perrl,no acute distress eyes conjunctiva p e r r l,3.8095,[[no]] acute distress eyes conjunctiva perrl,no acute distress eyes conjunctiva p e r,ASR-COLLAPSE candidate,,,,
6,detector,6d8bcf78963a218d83e6514022c3bfbd,whisper,nembe,B,clinical,ASR-COLLAPSE,pt w tachycardia and hypotension,be shared with tachycardia and papal tension,3.8095,[[pt]] w tachycardia and hypotension,be shared with tachycardia and papal tension,ASR-COLLAPSE candidate,,,,
7,detector,1a91bdf81acf149c03a3c48254cc5273,whisper,luhya,B,clinical,ASR-COLLAPSE,unlike quinidine disopyramide does not increase the plasma concentration of digoxin in patients receiving a,kama pia kwenye kuma pia kwenye pira ni kukua kusimu ya plasma kwa hivyo kwa,3.8095,[[unlike]] quinidine disopyramide does not increase the plasma,kama pia kwenye kuma pia kwenye pira ni,ASR-COLLAPSE candidate,,,,
8,detector,dce11a83cfa477b7e54bace09a6c72ab,whisper,setswana,B,clinical,ASR-COLLAPSE,protection of the host immune mechanism mightincrease the efcacy of other drugs that inhibit viralreplication,mwisho ya kwaalisha ya kweka lakini ya msingi kumekuwa kwenye uweza ya kubwa ya kubwa,3.8095,[[protection]] of the host immune mechanism mightincrease the,mwisho ya kwaalisha ya kweka lakini ya msingi,ASR-COLLAPSE candidate,,,,
9,detector,06e79ca6e3f2bc5a6aefbd7be5f1f8e4,gemini,hausa,A,clinical,ASR-COLLAPSE,remains on iron and trivisol,riemenschneider on travisol,3.8095,[[remains]] on iron and trivisol,riemenschneider on travisol,ASR-COLLAPSE candidate,,,,
10,detector,2724a2c5e5300779ab3ada65f742cd32,gemini,kanuri,C,clinical,ASR-COLLAPSE,fen abd benign weight today 1630 down 80 gm on 80 cc kg d pe,f e n a b d b 9 way today 1630 down 80 gm on,3.8095,[[fen]] abd benign weight today 1630 down 80,f e n a b d b 9,ASR-COLLAPSE candidate,,,,
11,detector,950669fd990036359a84fc27a609d98b,whisper,hausa,A,clinical,ASR-COLLAPSE,nondisplaced fracture of unspecified ulna styloid process subsequent tablet extended release oral requip xl ropinirole,faktura wakafu kwa kwa hivyo ya kutoka kwa kwa hivyo kwa hivyo tablet kutoka mwisho,3.8095,[[nondisplaced]] fracture of unspecified ulna styloid process subsequent,faktura wakafu kwa kwa hivyo ya kutoka kwa,ASR-COLLAPSE candidate,,,,
